index,title,score,gram,cost,category
37,素煎り カシューナッツ,評価なし,84g,278,6
38,素煎り くるみ,評価なし,90g,278,7
39,素煎り 3種のミックスナッツ,評価なし,82g,278,8
40,十勝産あずきの ふっくらどらやき,評価なし,5個,278,1
41,おいしさそのまま カットパイン,評価なし,4袋,298,2
42,ひとときスイーツ ほうじ茶みるくのアーモンドボー…,3,50g,98,3
43,ひとときスイーツ アーモンドミルクのケーキ,3,1個,98,4
44,ひとときスイーツ アーモンドミルクのバウム,5,1個,98,5
45,ひとときスイーツ レモンのバウム,4.5,1個,98,6
46,ひとときスイーツ ラズベリーのアーモンドボール,4.4,50g,98,7
47,十勝産あずきの どらやき,5,1個,88,8
48,レーズンチョコ,4.5,46g,90,1
49,ホワイト麦チョコ,4.3,42g,90,2
50,チョコマシュマロ,4.5,60g,90,3
51,Free From 大判えびせん,4,6枚,90,4
52,ココナッツビスケット ミニ,評価なし,85g,90,5
53,甘辛するめ塩レモン 塩レモン風味,評価なし,15g,90,6
54,はちみつかりんとう,5,125g,90,7
55,チョコバナナチップ,4,40g,90,8
56,米粉を使って ふんわり揚げたチップス のりしお味,4.7,40g,90,1
57,ピリ辛皮付きさきいか,3,18g,90,2
58,Free From 塩せんべい,評価なし,65g,90,3
59,もち入り 粒あん最中,5,1個,58,4
60,粒あん最中,5,1個,58,5
61,ニュージーランド産牛肉使用 ビーフジャーキー,評価なし,38g,298,6
62,北海道産やまわさび瀬戸内産海苔使用 のり天 やまわ…,評価なし,105g,298,7
63,北海道産の帆立使用 チーズ帆立とチーズいかのアソ…,評価なし,103g(個包装紙込み),898,8
64,国産小魚使用 小魚アーモンド,4,85g,298,1
65,いいわけおやつ 抹茶くるみ,4,27g,128,2
66,いいわけおやつ ミニごぼう 梅味,評価なし,15g,98,3
67,おつまみチーズサンド,評価なし,118g,298,4
68,ドライソーセージ,評価なし,108g,298,5
69,ソフトいか燻製,評価なし,85g,298,6
70,おつまみチーズサンド チェダーチーズ使用,評価なし,20g,90,7
71,3種の ひとくちドーナツ ハニーミルク メープル シ…,4,180g(個包装紙込み),198,8
72,むき栗,5,65g,90,1
73,パウンドケーキ ナッツ,評価なし,5切,298,2
74,ふんわり焼き上げた かすてら チョコマーブル,評価なし,5切,197,3
75,ひとときスイーツ 糖質40%オフ 豆乳はちみつドーナ…,4,1個,98,4
76,ひとときスイーツ 糖質40%オフ ショコラドーナツ,4.2,1個,98,5
77,ふんわり焼き上げた かすてら,5,5切,197,6
78,おいしさそのまま カットパイン,評価なし,100g,158,7
79,ラムネ ぶどう糖95%,4.3,40g,78,8
80,サクッと軽い食感 コーンスナック バーベキュー味,5,75g,68,1
81,国産鶏肉・豚肉使用 ドライソーセージ,評価なし,171g,398,2
82,カナダ産三元豚使用 ポークジャーキー,2,40g,298,3
83,国産鶏むね肉使用 鶏むね肉ジャーキー,評価なし,40g,298,4
84,たんぱく質食物繊維豊富 大豆からつくったジャーキ…,評価なし,45g,158,5
85,オーストラリア産牛肉使用 厚切りビーフジャーキー,評価なし,41g,398,6
86,パウンドケーキ フルーツ,評価なし,5切,298,7
87,ふんわり焼き上げた かすてら ミルク風味,評価なし,1個,98,8
88,ふんわり焼き上げた かすてら チョコマーブル,評価なし,1個,98,1
89,いいわけおやつ 甘酸っぱい梅そら豆,5,33g,98,2
